Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Brenden Aaronson,MF,us United States,22-054,1.eng Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.06,0.18,0.24,0.06,0.24,Matches
Ali Abdi,DF,tn Tunisia,28-360,2.fr Caen,1993,3,2,188,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
Salis Abdul Samed,MF,gh Ghana,22-264,1.fr Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches
Saud Abdulhamid,"DF,MF",sa Saudi Arabia,23-150,1.sa Al-Hilal,1999,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02,Matches
Nawaf Al Abed,MF,sa Saudi Arabia,32-323,1.sa Al-Shabab,1990,2,0,88,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.13,0.06,0.20,0.13,0.20,Matches
Pape Abou Cissé,DF,sn Senegal,27-092,1.gr Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Vincent Aboubakar,FW,cm Cameroon,30-327,1.sa Al-Nassr,1992,3,1,142,1.6,2,1,2,0,0,2,1,1.27,0.63,1.90,1.27,1.90,0.6,0.6,0.6,1.2,0.37,0.39,0.76,0.37,0.76,Matches
Abdulrahman Al-Aboud,"MF,DF",sa Saudi Arabia,27-197,1.sa Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.18,0.06,0.24,0.18,0.24,Matches
Zakaria Aboukhlal,"FW,MF",ma Morocco,22-300,1.fr Toulouse,2000,4,0,79,0.9,1,0,1,0,0,0,0,1.14,0.00,1.14,1.14,1.14,1.0,1.0,0.0,1.0,1.16,0.00,1.16,1.16,1.16,Matches
Kellyn Acosta,MF,us United States,27-144,1.us Los Angeles FC,1995,2,0,43,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
