PLAYER NAME,MATCHES,ATTEMPTS,ATTEMPTS ON TARGET,ATTEMPTS OFF TARGET,ATTEMPTS BLOCKED
Lionel Messi,7,29,18,11,3
Kylian Mbappe,7,21,14,7,10
Olivier Giroud,6,15,6,9,1
Ivan Perisic,7,13,4,9,3
Lautaro Martinez,6,11,4,7,3
Jamal Musiala,3,10,3,7,2
Dani Olmo,4,10,6,4,2
Neymar,3,10,7,3,2
Memphis Depay,5,9,5,4,1
Harry Kane,5,9,6,3,3
Robert Lewandowski,4,9,4,5,3
Marcus Rashford,5,9,6,3,2
Julian Alvarez,7,9,8,1,2
Serge Gnabry,3,8,4,4,4
Hakim Ziyech,7,8,2,6,2
Vinicius Junior,4,8,4,4,1
Aleksandar Mitrovic,3,8,3,5,2
Alvaro Morata,4,8,5,3,0
Raphinha,5,7,6,1,1
Federico Valverde,3,7,1,6,0
