PLAYER NAME,TEAM,SAVES MADE,BLOCKS,TOTAL CLEARANCES,INTERCEPTIONS,RECOVERIES,GOALS CONCEDED
Dominik Livakovic,Croatia,25,0,2,0,66,7
Wojciech Szczesny,Poland,23,0,6,0,36,5
Andries Noppert,Netherlands,18,0,5,0,45,4
Hugo Lloris,France,17,0,4,0,38,7
Vanja Milinkovic-Savic,Serbia,16,0,3,1,32,8
Shuichi Gonda,Japan,15,0,4,0,26,4
Mohammed Al Owais,Saudi Arabia,14,0,9,0,30,5
Yann Sommer,Switzerland,12,0,2,0,22,7
Mat Ryan,Australia,12,0,7,0,33,6
Keylor Navas,Costa Rica,11,0,3,1,28,11
Kim Seung-gyu,Korea Republic,11,0,3,2,28,8
Diogo Costa,Portugal,11,0,4,0,37,6
Lawrence Ati-Zigi,Ghana,10,0,1,0,18,7
,Cameroon,9,0,2,0,20,3
Thibaut Courtois,Belgium,9,0,0,0,18,2
Matt Turner,USA,9,0,1,0,39,4
Aymen Dahmen,Tunisia,9,0,2,0,18,1
Manuel Neuer,Germany,8,0,1,0,21,5
Milan Borjan,Canada,8,0,3,0,29,7
Kasper Schmeichel,Denmark,8,0,3,0,26,3
