PLAYER NAME,MATCHES,GOALS,LEFT FOOT,RIGHT FOOT,HEADER,OWN GOALS,PENALTIES
Kylian Mbappe,7,8,0,7,1,0,2
Lionel Messi,7,7,6,1,0,0,4
Julian Alvarez,7,4,0,4,0,0,0
Olivier Giroud,6,4,1,1,2,0,0
Marcus Rashford,5,3,2,1,0,0,0
Goncalo Ramos,4,3,2,1,0,0,0
Enner Valencia,3,3,0,2,1,0,1
Richarlison,4,3,1,2,0,0,0
Alvaro Morata,4,3,1,1,1,0,0
Bukayo Saka,4,3,3,0,0,0,0
Cody Gakpo,5,3,1,1,1,0,0
Niclas Fuellkrug,3,2,1,1,0,0,0
Ferran Torres,4,2,1,1,0,0,1
Andrej Kramaric,7,2,2,0,0,0,0
Kai Havertz,2,2,1,1,0,0,0
Neymar,3,2,0,2,0,0,1
Mohammed Kudus,3,2,1,0,1,0,0
Breel Embolo,4,2,0,2,0,0,0
Aleksandar Mitrovic,3,2,0,1,1,0,0
Salem Al Dawsari,3,2,0,2,0,0,0
